idVille;year_;month_;ville;prix_moyen_mois_maison_vente;prix_moyen_mois_appart_location;prix_moyen_mois_appart_vente;prix_moyen_mois_maison_location;rendement_maison;rendement_appart
3013;2018.0;11;Montreuil;3958.8533333364;22.6333333333;3958.8533333364;22.6333333333;6.8605724216;6.8605724216
3013;2018.0;12;Montreuil;2957.7699999984;23.38;2957.7699999984;23.38;9.4855245675;9.4855245675
3003;2018.0;12;Caen;2587.9900000007;13.88;2587.9900000007;13.88;6.4358826734;6.4358826734
3003;2018.0;11;Caen;2510.5187499987;13.4428571429;2510.5187499987;13.4428571429;6.4255359859;6.4255359859
2995;2018.0;10;Amiens;6736.1999999999;15.6;2369.8999999999;11.6;2.0664469582;7.8990674712
2995;2018.0;11;Amiens;2367.6566666678;15.35;2367.6566666678;15.35;7.779844206;7.779844206
3013;2018.0;10;Montreuil;3870.5400000008;19.7666666667;3581.4433333329;23.8;7.3788153591;6.623028146
3006;2019.0;1;Rouen;2642.403333333;14.5333333333;2642.403333333;14.5333333333;6.6000522252;6.6000522252
2995;2018.0;12;Amiens;2403.9075;15.56;2403.9075;15.56;7.7673537771;7.7673537771
3005;2018.0;10;Mulhouse;2434.3799999999;10.5;1665.48;13.1;6.4574963646;7.5653865552
3005;2018.0;12;Mulhouse;2905.3925000011;10.42;2905.3925000011;10.42;4.3037214421;4.3037214421
3005;2018.0;11;Mulhouse;1719.1183333343;10.3833333333;1719.1183333343;10.3833333333;7.2479012982;7.2479012982
3011;2019.0;1;Argenteuil;3242.2133333335;19.1666666667;3242.2133333335;19.1666666667;7.0939193802;7.0939193802
2993;2018.0;11;Le Mans;1613.7033333323;11.0666666667;1613.7033333323;11.0666666667;8.2295176106;8.2295176106
2983;2018.0;12;Rennes;6974.3900000005;21.16;6974.3900000005;21.16;3.6407485099;3.6407485099
2993;2018.0;12;Le Mans;1640.9525000004;11.58;1640.9525000004;11.58;8.4682524327;8.4682524327
2999;2019.0;1;Tours;2392.4033333336;20.1;2392.4033333336;20.1;10.0819120522;10.0819120522
2978;2018.0;10;Nice;5694.4900000002;15.7;2851.03;20.4;4.2988924381;6.6081381115
