IDVille;Ville;Date_extraction;Prix_appartement_min;Prix_appartement_max;Prix_appartement_moyen;Prix_maison_min;Prix_maison_max;Prix_maison_moyen
2984;Le Havre            ;2018-11-04 22:39:35;1862.41 ;3500.0  ;1994.59 ;1862.41 ;3500.0  ;1994.59 
2984;Le Havre            ;2018-11-06 09:33:17;1893.94 ;3577.35 ;2064.22 ;1893.94 ;3577.35 ;2064.22 
2984;Le Havre            ;2018-11-07 23:25:12;1893.94 ;3580.95 ;2066.82 ;1893.94 ;3580.95 ;2066.82 
2984;Le Havre            ;2018-11-11 20:30:02;1893.94 ;3578.43 ;2067.69 ;1893.94 ;3578.43 ;2067.69 
2984;Le Havre            ;2018-11-15 19:09:09;1896.55 ;3576.47 ;2065.65 ;1896.55 ;3576.47 ;2065.65 
2984;Le Havre            ;2018-11-25 20:30:02;1907.14 ;3567.59 ;2077.57 ;1907.14 ;3567.59 ;2077.57 
2984;Le Havre            ;2018-12-02 20:30:01;1906.98 ;3565.22 ;2071.39 ;1906.98 ;3565.22 ;2071.39 
2984;Le Havre            ;2018-12-16 20:30:01;1900.0  ;3545.45 ;2059.85 ;1900.0  ;3545.45 ;2059.85 
2984;Le Havre            ;2018-12-23 20:30:02;1880.0  ;3536.23 ;2029.57 ;1880.0  ;3536.23 ;2029.57 
2984;Le Havre            ;2018-12-30 20:30:02;1868.42 ;3536.23 ;2022.54 ;1868.42 ;3536.23 ;2022.54 
2984;Le Havre            ;2019-01-06 20:30:02;1857.14 ;3539.96 ;2021.99 ;1857.14 ;3539.96 ;2021.99 
2984;Le Havre            ;2019-01-20 20:30:02;1818.18 ;3536.23 ;1999.26 ;1818.18 ;3536.23 ;1999.26 
2984;Le Havre            ;2019-01-27 20:30:02;1818.18 ;3536.23 ;1999.26 ;1818.18 ;3536.23 ;1999.26 
2993;Le Mans             ;2018-10-31 14:39:05;1481.76 ;2478.0  ;1564.57 ;2762.64 ;4218.87 ;2843.96 
2993;Le Mans             ;2018-11-04 22:39:35;1479.32 ;2476.2  ;1562.8  ;1479.32 ;2476.2  ;1562.8  
2993;Le Mans             ;2018-11-06 09:33:17;1433.73 ;2752.89 ;1550.98 ;1433.73 ;2752.89 ;1550.98 
2993;Le Mans             ;2018-11-07 23:25:12;1500.0  ;2826.2  ;1629.99 ;1500.0  ;2826.2  ;1629.99 
2993;Le Mans             ;2018-11-11 20:30:02;1473.62 ;2794.62 ;1607.11 ;1473.62 ;2794.62 ;1607.11 
2993;Le Mans             ;2018-11-15 19:09:09;1474.37 ;2779.72 ;1606.52 ;1474.37 ;2779.72 ;1606.52 
2993;Le Mans             ;2018-11-25 20:30:02;1562.5  ;3006.83 ;1724.82 ;1562.5  ;3006.83 ;1724.82 
2993;Le Mans             ;2018-12-02 20:30:01;1475.0  ;2766.67 ;1616.95 ;1475.0  ;2766.67 ;1616.95 
2993;Le Mans             ;2018-12-16 20:30:01;1479.32 ;2794.53 ;1626.1  ;1479.32 ;2794.53 ;1626.1  
2993;Le Mans             ;2018-12-23 20:30:02;1537.63 ;3004.8  ;1701.98 ;1537.63 ;3004.8  ;1701.98 
2993;Le Mans             ;2018-12-30 20:30:02;1474.36 ;2794.62 ;1618.78 ;1474.36 ;2794.62 ;1618.78 
2993;Le Mans             ;2019-01-06 20:30:02;1471.93 ;2737.7  ;1607.59 ;1471.93 ;2737.7  ;1607.59 
